Roll Number,Legal Address,Tax/Exempt,Prop Type Code,Prop Type,Payer Type,Land Value,Impr. Value,Other Value,Total Value,Street Address,Prop Subtype,Description,Town,Tax Year
500010,"8054EK A 1    SW-12-20-3-5    6,000 Sq. Feet",T,2,Residential,I  Individual,93000,47700,0,140700,502 SUNSET BLVD. N.W.,,,TV,2016
500020,"8054EK A 2    SW-12-20-3-5    6,000 Sq. Feet",T,2,Residential,I  Individual,93000,108600,0,201600,504 SUNSET BLVD. N.W.,,,TV,2016
500030,"8054EK A 3    SW-12-20-3-5    6,000 Sq. Feet",T,2,Residential,I  Individual,93000,169300,0,262300,506 SUNSET BLVD. N.W.,,,TV,2016
500040,"8054EK A 4    SW-12-20-3-5    6,000 Sq. Feet    50' X 120' Lot Area",T,2,Residential,I  Individual,93000,144900,0,237900,508 SUNSET BLVD. N.W.,,,TV,2016
500050,"8054EK A 5    SW-12-20-3-5    6,000 Sq. Feet",T,2,Residential,I  Individual,93000,100200,0,193200,510 SUNSET BLVD. N.W.,,,TV,2016
500060,"8054EK A 9    SW-12-20-3-5    10,330 Sq. Feet",T,2,Residential,I  Individual,108300,118700,0,227000,519 WINDSOR AVE. N.W.,,,TV,2016
500070,"8054EK A 10    SW-12-20-3-5    6,000 Sq. Feet",T,2,Residential,I  Individual,93000,117700,0,210700,517 WINDSOR AVE. N.W.,,,TV,2016
500080,"8054EK A 11    SW-12-20-3-5    6,000 Sq. Feet",T,2,Residential,I  Individual,93000,199100,0,292100,515 WINDSOR AVE. N.W.,,,TV,2016
500090,"8054EK A 12    SW-12-20-3-5    6,000 Sq. Feet",T,2,Residential,I  Individual,93000,200100,0,293100,513 WINDSOR AVE. N.W.,,,TV,2016
500100,"8054EK A 13    SW-12-20-3-5    6,000 Sq. Feet",T,2,Residential,I  Individual,93000,115800,0,208800,511 WINDSOR AVE. N.W.,,,TV,2016
500110,"8054EK A 14    SW-12-20-3-5    6,000 Sq. Feet    50' X 120'",T,2,Residential,I  Individual,93000,143800,0,236800,509 WINDSOR AVE. N.W.,,,TV,2016
500120,"8054EK A 15,16    SW-12-20-3-5    12,000 Sq. Feet",T,2,Residential,I  Individual,110600,188700,0,299300,505 WINDSOR AVE. N.W.,,,TV,2016
500140,"8054EK A 17    SW-12-20-3-5    6,000 Sq. Feet",T,2,Residential,I  Individual,93000,222300,0,315300,503 WINDSOR AVE. N.W.,,,TV,2016
500150,"8054EK A 18    SW-12-20-3-5    6,000 Sq. Feet",T,2,Residential,I  Individual,93000,164000,0,257000,501 WINDSOR AVE. NW,,,TV,2016
500160,"8054EK B 1    SW-12-20-3-5    6,780 Sq. Feet",T,2,Residential,I  Individual,95900,105300,0,201200,502 WINDSOR AVE. N.W.,,,TV,2016
500170,"8054EK B 2    SW-12-20-3-5    6,780 Sq. Feet",T,2,Residential,I  Individual,95900,137500,0,233400,504 WINDSOR AVE. N.W.,,,TV,2016
500180,"8054EK B 3    SW-12-20-3-5    13,560 Sq. Feet",T,2,Residential,I  Individual,112700,81100,0,193800,156 JOHN ST. N.W.,,,TV,2016
500200,8054EK B 4    SW-12-20-3-5    2.00 Acres    Lot 4 (Park Reserve)Public Works,E,10,Municipal Public Lands-Exempt,M  Municipal,197900,466400,0,664300,514 WINDSOR AVE. N.W.,,,TV,2016
500250,8054EK B 5    SW-12-20-3-5    2.00 Acres    Lot 5 (Public Works Reserve),E,10,Municipal Public Lands-Exempt,M  Municipal,197900,124800,0,322700,526 WINDSOR AVE. N.W.,,,TV,2016
500300,"7710288 A 5    SW-12-20-3-5    2,940 Sq. Feet",T,2,Residential,I  Individual,61100,123100,0,184200,512 SUNSET BLVD. N.W.,,,TV,2016
500310,"7710288 A 4    SW-12-20-3-5    2,160 Sq. Feet",T,2,Residential,I  Individual,44900,123800,0,168700,514 SUNSET BLVD. N.W.,,,TV,2016
500320,"7710288 A 3    SW-12-20-3-5    2,160 Sq. Feet",T,2,Residential,I  Individual,44900,131700,0,176600,516 SUNSET BLVD. N.W.,,,TV,2016
500330,"7710288 A 2    SW-12-20-3-5    2,940 Sq. Feet    24.5' X 120'",T,2,Residential,I  Individual,61100,122600,0,183700,518 SUNSET BLVD. N.W.,,,TV,2016
500340,"7710288 A 1    SE-12-20-3-5    7,970 Sq. Feet",T,2,Residential,I  Individual,100300,181300,0,281600,102 SUNSET BLVD. N.W.,,,TV,2016
600010,"2474DN A 1    SE-12-20-3-5    8,780 Sq. Feet",T,2,Residential,I  Individual,19380,65200,0,84580,146 MAIN ST. N.W.,,,TV,2016
