Roll Number,Legal Address,Tax/Exempt,Prop Type Code,Prop Type,Payer Type,Land Value,Impr. Value,Other Value,Total Value,Street Address,Prop Subtype,Description,Tax Year
500010,"8054EK A 1    SW-12-20-3-5    6,000 Sq. Feet",T,2,Residential,I  Individual,94800,48500,0,143300,502 SUNSET BLVD. N.W.,Land    R - Residential,,2018
500020,"8054EK A 2    SW-12-20-3-5    6,000 Sq. Feet",T,2,Residential,I  Individual,94800,110500,0,205300,504 SUNSET BLVD. N.W.,Land    R - Residential,,2018
500030,"8054EK A 3    SW-12-20-3-5    6,000 Sq. Feet",T,2,Residential,I  Individual,94800,169000,0,263800,506 SUNSET BLVD. N.W.,Land    R - Residential,,2018
500040,"8054EK A 4    SW-12-20-3-5    6,000 Sq. Feet",T,2,Residential,I  Individual,94800,147800,0,242600,508 SUNSET BLVD. N.W.,Land    R - Residential,,2018
500050,"8054EK A 5    SW-12-20-3-5    6,000 Sq. Feet",T,2,Residential,I  Individual,94800,102000,0,196800,510 SUNSET BLVD. N.W.,Land    R - Residential,,2018
500060,"8054EK A 9    SW-12-20-3-5    10,330 Sq. Feet",T,2,Residential,I  Individual,110500,119100,0,229600,519 WINDSOR AVE. N.W.,Land    R - Residential,,2018
500070,"8054EK A 10    SW-12-20-3-5    6,000 Sq. Feet",T,2,Residential,I  Individual,94800,119800,0,214600,517 WINDSOR AVE. N.W.,Land    R - Residential,,2018
500080,"8054EK A 11    SW-12-20-3-5    6,000 Sq. Feet",T,2,Residential,I  Individual,94800,203300,0,298100,515 WINDSOR AVE. N.W.,Land    R - Residential,,2018
500090,"8054EK A 12    SW-12-20-3-5    6,000 Sq. Feet",T,2,Residential,I  Individual,94800,201800,0,296600,513 WINDSOR AVE. N.W.,Land    R - Residential,,2018
500100,"8054EK A 13    SW-12-20-3-5    6,000 Sq. Feet",T,2,Residential,I  Individual,94800,117800,0,212600,511 WINDSOR AVE. N.W.,Land    R - Residential,,2018
500110,"8054EK A 14    SW-12-20-3-5    6,000 Sq. Feet",T,2,Residential,I  Individual,94800,146400,0,241200,509 WINDSOR AVE. N.W.,Land    R - Residential,,2018
500120,"8054EK A 15,16    SW-12-20-3-5    12,000 Sq. Feet",T,2,Residential,I  Individual,112800,192500,0,305300,505 WINDSOR AVE. N.W.,Land    R - Residential,,2018
500140,"8054EK A 17    SW-12-20-3-5    6,000 Sq. Feet",T,2,Residential,I  Individual,94800,224500,0,319300,503 WINDSOR AVE. N.W.,Land    R - Residential,,2018
500150,"8054EK A 18    SW-12-20-3-5    6,000 Sq. Feet",T,2,Residential,I  Individual,94800,166900,0,261700,501 WINDSOR AVE. NW,Land    R - Residential,,2018
500160,"8054EK B 1    SW-12-20-3-5    6,780 Sq. Feet",T,2,Residential,I  Individual,97800,107100,0,204900,502 WINDSOR AVE. N.W.,Land    R - Residential,,2018
500170,"8054EK B 2    SW-12-20-3-5    6,780 Sq. Feet",T,2,Residential,I  Individual,97800,140000,0,237800,504 WINDSOR AVE. N.W.,Land    R - Residential,,2018
500180,"8054EK B 3    SW-12-20-3-5    13,560 Sq. Feet",T,2,Residential,I  Individual,115000,82600,0,197600,156 JOHN ST. N.W.,Land    R - Residential,,2018
500200,8054EK B 4    SW-12-20-3-5    2.00 Acres,E,10,Municipal Public Lands-Exempt,M  Municipal,201800,475600,0,677400,514 WINDSOR AVE. N.W.,Land    NR - Non Residential,,2018
500250,8054EK B 5    SW-12-20-3-5    2.00 Acres,E,10,Municipal Public Lands-Exempt,M  Municipal,201800,124600,0,326400,526 WINDSOR AVE. N.W.,Land    NR - Non Residential,,2018
500300,"7710288 A 5    SW-12-20-3-5    2,940 Sq. Feet",T,2,Residential,I  Individual,62300,125700,0,188000,512 SUNSET BLVD. N.W.,Land    R - Residential,,2018
500310,"7710288 A 4    SW-12-20-3-5    2,160 Sq. Feet",T,2,Residential,I  Individual,45800,126400,0,172200,514 SUNSET BLVD. N.W.,Land    R - Residential,,2018
500320,"7710288 A 3    SW-12-20-3-5    2,160 Sq. Feet",T,2,Residential,I  Individual,45800,134400,0,180200,516 SUNSET BLVD. N.W.,Land    R - Residential,,2018
500330,"7710288 A 2    SW-12-20-3-5    2,940 Sq. Feet",T,2,Residential,I  Individual,62300,125200,0,187500,518 SUNSET BLVD. N.W.,Land    R - Residential,,2018
500340,"7710288 A 1    SE-12-20-3-5    7,970 Sq. Feet",T,2,Residential,I  Individual,102300,185100,0,287400,102 SUNSET BLVD. N.W.,Land    R - Residential,,2018
600010,"2474DN A 1    SE-12-20-3-5    8,780 Sq. Feet",T,2,Residential,I  Individual,25110,65500,0,90610,146 MAIN ST. N.W.,Land    R - Residential,,2018
600010,"2474DN A 1    SE-12-20-3-5    8,780 Sq. Feet",T,3,Commercial,I  Individual,58590,120900,0,179490,146 MAIN ST. N.W.,Land    NR - Non Residential,,2018
600010,146 MAIN ST. N.W.,,,,I  Individual,83700,186400,0,270100,Land    R - Residential,,,2018
600015,2474DN 10'A 10    SE-12-20-3-5    250 Sq. Feet,T,3,Commercial,I  Individual,2500,0,0,2500,103 EDGAR AVE. N.W.,Land    NR - Non Residential,,2018
