Roll Number,Legal Address,Tax/Exempt,Prop Type Code,Prop Type,Payer Type,Land Value,Impr. Value,Other Value,Total Value,Street Address,Prop Subtype,Description,Town,Tax Year
500010,"8054EK A 1    SW-12-20-3-5    6,000 Sq. Feet",T,2,Residential,I  Individual,91100,45200,0,136300,502 SUNSET BLVD. N.W.,R    LAND & IMPROVEMENTS,,TV,2021
500020,"8054EK A 2    SW-12-20-3-5    6,000 Sq. Feet",T,2,Residential,I  Individual,91100,98200,0,189300,504 SUNSET BLVD. N.W.,R    LAND & IMPROVEMENTS,,TV,2021
500030,"8054EK A 3    SW-12-20-3-5    6,000 Sq. Feet",T,2,Residential,I  Individual,91100,165000,0,256100,506 SUNSET BLVD. N.W.,R    LAND & IMPROVEMENTS,,TV,2021
500040,"8054EK A 4    SW-12-20-3-5    6,000 Sq. Feet",T,2,Residential,I  Individual,91100,139300,0,230400,508 SUNSET BLVD. N.W.,R    LAND & IMPROVEMENTS,,TV,2021
500050,"8054EK A 5    SW-12-20-3-5    6,000 Sq. Feet",T,2,Residential,I  Individual,91100,89700,0,180800,510 SUNSET BLVD. N.W.,R    LAND & IMPROVEMENTS,,TV,2021
500060,"8054EK A 9    SW-12-20-3-5    10,330 Sq. Feet",T,2,Residential,I  Individual,106200,109100,0,215300,519 WINDSOR AVE. N.W.,R    LAND & IMPROVEMENTS,,TV,2021
500070,"8054EK A 10    SW-12-20-3-5    6,000 Sq. Feet",T,2,Residential,I  Individual,91100,108200,0,199300,517 WINDSOR AVE. N.W.,R    LAND & IMPROVEMENTS,,TV,2021
500080,"8054EK A 11    SW-12-20-3-5    6,000 Sq. Feet",T,2,Residential,I  Individual,91100,189900,0,281000,515 WINDSOR AVE. N.W.,R    LAND & IMPROVEMENTS,,TV,2021
500090,"8054EK A 12    SW-12-20-3-5    6,000 Sq. Feet",T,2,Residential,I  Individual,91100,186800,0,277900,513 WINDSOR AVE. N.W.,R    LAND & IMPROVEMENTS,,TV,2021
500100,"8054EK A 13    SW-12-20-3-5    6,000 Sq. Feet",T,2,Residential,I  Individual,91100,124100,0,215200,511 WINDSOR AVE. N.W.,R    LAND & IMPROVEMENTS,,TV,2021
500110,"8054EK A 14    SW-12-20-3-5    6,000 Sq. Feet",T,2,Residential,I  Individual,91100,135900,0,227000,509 WINDSOR AVE. N.W.,R    LAND & IMPROVEMENTS,,TV,2021
500120,"8054EK A 15,16    SW-12-20-3-5    12,000 Sq. Feet",T,2,Residential,I  Individual,108400,179500,0,287900,505 WINDSOR AVE. N.W.,R    LAND & IMPROVEMENTS,,TV,2021
500140,"8054EK A 17    SW-12-20-3-5    6,000 Sq. Feet",T,2,Residential,I  Individual,91100,207400,0,298500,503 WINDSOR AVE. N.W.,R    LAND & IMPROVEMENTS,,TV,2021
500150,"8054EK A 18    SW-12-20-3-5    6,000 Sq. Feet",T,2,Residential,I  Individual,91100,148600,0,239700,501 WINDSOR AVE. NW,R    LAND & IMPROVEMENTS,,TV,2021
500160,"8054EK B 1    SW-12-20-3-5    6,780 Sq. Feet",T,2,Residential,I  Individual,93900,97300,0,191200,502 WINDSOR AVE. N.W.,R    LAND & IMPROVEMENTS,,TV,2021
500170,"8054EK B 2    SW-12-20-3-5    6,780 Sq. Feet",T,2,Residential,I  Individual,93900,124700,0,218600,504 WINDSOR AVE. N.W.,R    LAND & IMPROVEMENTS,,TV,2021
500180,"8054EK B 3    SW-12-20-3-5    13,560 Sq. Feet",T,2,Residential,I  Individual,110500,75700,0,186200,156 JOHN ST. N.W.,R    LAND & IMPROVEMENTS,,TV,2021
500200,8054EK B 4    SW-12-20-3-5    2.00 Acres,E,10,Municipal Public Lands-Exempt,M  Municipal,193900,417500,0,611400,514 WINDSOR AVE. N.W.,NR  LAND & IMPROVEMENTS,TOWN OF TURNER VALLEY TOWN OFFICE,TV,2021
500250,8054EK B 5    SW-12-20-3-5    2.00 Acres,E,10,Municipal Public Lands-Exempt,M  Municipal,193900,101900,0,295800,526 WINDSOR AVE. N.W.,NR  LAND & IMPROVEMENTS,,TV,2021
500300,"7710288 A 5    SW-12-20-3-5    2,940 Sq. Feet",T,2,Residential,I  Individual,59900,117200,0,177100,512 SUNSET BLVD. N.W.,R    LAND & IMPROVEMENTS,,TV,2021
500310,"7710288 A 4    SW-12-20-3-5    2,160 Sq. Feet",T,2,Residential,I  Individual,44000,117900,0,161900,514 SUNSET BLVD. N.W.,R    LAND & IMPROVEMENTS,,TV,2021
500320,"7710288 A 3    SW-12-20-3-5    2,160 Sq. Feet",T,2,Residential,I  Individual,44000,125400,0,169400,516 SUNSET BLVD. N.W.,R    LAND & IMPROVEMENTS,,TV,2021
500330,"7710288 A 2    SW-12-20-3-5    2,940 Sq. Feet",T,2,Residential,I  Individual,59900,116800,0,176700,518 SUNSET BLVD. N.W.,R    LAND & IMPROVEMENTS,,TV,2021
500340,"7710288 A 1    SE-12-20-3-5    7,970 Sq. Feet",T,2,Residential,I  Individual,117900,204000,0,321900,102 SUNSET BLVD. N.W.,R    LAND & IMPROVEMENTS,,TV,2021
600010,"2474DN A 1    SE-12-20-3-5    8,780 Sq. Feet",T,3,Commercial,I  Individual,0,0,259200,259200,146 MAIN ST. N.W.,NR  LAND & IMPROVEMENTS,,TV,2021
600015,2474DN 10'A 10    SE-12-20-3-5    250 Sq. Feet,T,3,Commercial,I  Individual,1500,0,0,1500,103 EDGAR AVE. N.W.,NR  LAND,,TV,2021
600020,"2474DN A 1-3    SE-12-20-3-5    5,592 Sq. Feet",T,3,Commercial,I  Individual,0,0,330300,330300,105 EDGAR AVE. N.W.,NR  LAND & IMPROVEMENTS,,TV,2021
600030,"0311914 26 34    SE-12-20-3-5    7,039 Sq. Feet",T,3,Commercial,I  Individual,0,0,360800,360800,140 MAIN ST. N.W.,NR  LAND & IMPROVEMENTS,TURNER VALLEY BUSINESS OFFICES,TV,2021
600040,"0311914 26 35    SE-12-20-3-5    9,513 Sq. Feet",T,3,Commercial,I  Individual,130900,0,0,130900,136 Main Street NW,NR  LAND,VACANT LOT NORTH OF POST OFFICE,TV,2021
600050,"2474DN  6,7    SE-12-20-3-5    9,780 Sq. Feet",T,3,Commercial,I  Individual,0,0,214400,214400,132 MAIN ST. N.W.,NR  LAND & IMPROVEMENTS,,TV,2021
600060,"2474DN  8-10    SE-12-20-3-5    12,410 Sq. Feet",T,3,Commercial,C  Corporation,0,0,323800,323800,128 MAIN ST. N.W.,NR  LAND & IMPROVEMENTS,,TV,2021
600070,"2474DN  10-13    SE-12-20-3-5    14,850 Sq. Feet",T,3,Commercial,I  Individual,0,0,619300,619300,118 MAIN ST. N.W.,NR  LAND & IMPROVEMENTS,,TV,2021
600075,"2474DN Lane 13-14    SE-12-20-3-5    3,600 Sq. Feet",E,10,Municipal Public Lands-Exempt,M  Municipal,85500,0,0,85500,114 Main Street NW,NR  LAND,Day Care Play Ground on Town Land,TV,2021
600080,"2474DN  14    SE-12-20-3-5    4,680 Sq. Feet",T,3,Commercial,I  Individual,103600,0,0,103600,112 MAIN ST. N.W.,NR  LAND,,TV,2021
600085,"2474DN  15    SE-12-20-3-5    4,680 Sq. Feet",T,3,Commercial,I  Individual,103600,0,0,103600,111 Main Street NW,NR  LAND,,TV,2021
600090,"2474DN  16    SE-12-20-3-5    4,680 Sq. Feet",T,3,Commercial,I  Individual,103600,0,0,103600,108 MAIN ST. N.W.,NR  LAND,,TV,2021
600095,"2474DN  17    SE-12-20-3-5    4,680 Sq. Feet",T,3,Commercial,I  Individual,103600,0,0,103600,107 Main St. NW,NR  LAND,,TV,2021
600100,"2474DN  18,19    SE-12-20-3-5    9,780 Sq. Feet",T,3,Commercial,I  Individual,0,0,478300,478300,104 MAIN ST. N.W.,NR  LAND & IMPROVEMENTS,,TV,2021
600105,"2474DN  20    SE-12-20-3-5    6,020 Sq. Feet",T,3,Commercial,I  Individual,104900,0,0,104900,102 MAIN ST. N.W.,NR  LAND,PARKING LOT SOUTH OF ROYAL BANK,TV,2021
600110,"2474DN  21-24    SE-12-20-3-5    20,020 Sq. Feet",T,3,Commercial,I  Individual,0,0,453000,453000,104 SUNSET BLVD. N.W.,NR  LAND & IMPROVEMENTS,BLUE METAL CLAD SHOP AS A STRIP MALL,TV,2021
600130,"2474DN  25,26    SE-12-20-3-5    9,780 Sq. Feet",T,3,Commercial,I  Individual,0,0,343500,343500,112 SUNSET BLVD. N.W.,NR  LAND & IMPROVEMENTS,,TV,2021
600140,"2474DN  27,28    SE-12-20-3-5    9,780 Sq. Feet",T,3,Commercial,I  Individual,0,0,130600,130600,116 SUNSET BLVD. N.W.,NR  LAND & IMPROVEMENTS,,TV,2021
600150,"2474DN  29    SE-12-20-3-5    4,890 Sq. Feet",T,3,Commercial,I  Individual,85000,0,0,85000,120 SUNSET BLVD. N.W.,NR  LAND,,TV,2021
600154,"2474DN  30,31    SE-12-20-3-5    9,780 Sq. Feet",T,3,Commercial,I  Individual,117900,0,0,117900,122 SUNSET BLVD. N.W.,NR  LAND,,TV,2021
600157,"2474DN  32    SE-12-20-3-5    4,890 Sq. Feet",T,3,Commercial,I  Individual,85000,0,0,85000,126 SUNSET BLVD. N.W.,NR  LAND,,TV,2021
600160,"2474DN  33    SE-12-20-3-5    7,520 Sq. Feet",T,2,Residential,I  Individual,14910,41400,0,56310,130 SUNSET BLVD. N.W.,R    LAND & IMPROVEMENTS,,TV,2021
600160,"2474DN  33    SE-12-20-3-5    7,520 Sq. Feet",E,11,Institutional,I  Individual,72790,224700,0,297490,130 SUNSET BLVD. N.W.,NR,,TV,2021
602010,"7423DQ 2 1-3    SE-12-20-3-5    9,000 Sq. Feet",T,2,Residential,I  Individual,92600,76100,0,168700,318 MAIN ST. N.W.,R    LAND & IMPROVEMENTS,,TV,2021
602020,"7423DQ 2 4,5    SE-12-20-3-5    6,000 Sq. Feet",T,3,Commercial,I  Individual,82700,83600,0,166300,314 MAIN ST. N.W.,NR  LAND & IMPROVEMENTS,CANDY STORE - FORMER OLD RESIDENCE,TV,2021
602040,"7423DQ 2 6-9    SE-12-20-3-5    12,000 Sq. Feet",T,2,Residential,I  Individual,98400,113200,0,211600,306 MAIN ST. N.W.,R    LAND & IMPROVEMENTS,,TV,2021
602050,"7423DQ 2 10,11    SE-12-20-3-5    7,080 Sq. Feet",T,3,Commercial,I  Individual,0,0,336500,336500,302 MAIN ST. N.W.,NR  LAND & IMPROVEMENTS,PLANET PETROLEUM AND AUTO WORKS SHOP,TV,2021
602060,"8054EK 2 12,E13    SE-12-20-3-5    5,940 Sq. Feet",T,2,Residential,I  Individual,82000,127500,0,209500,108 FRONTENAC AVE. N.W.,R    LAND & IMPROVEMENTS,,TV,2021
602070,"8054EK 2 13,14    SE-12-20-3-5    5,940 Sq. Feet",T,2,Residential,I  Individual,82000,186000,0,268000,110 FRONTENAC AVE. N.W.,R    LAND & IMPROVEMENTS,,TV,2021
602080,"8054EK 2 15,16    SE-12-20-3-5    7,920 Sq. Feet",T,2,Residential,I  Individual,89100,168800,0,257900,112 FRONTENAC AVE. N.W.,R    LAND & IMPROVEMENTS,,TV,2021
602090,"8054EK 2 17,P18    SE-12-20-3-5    5,020 Sq. Feet",T,2,Residential,I  Individual,72300,236600,0,308900,114 FRONTENAC AVE. N.W.,R    LAND & IMPROVEMENTS,,TV,2021
602100,"8054EK 2 P18,19    SE-12-20-3-5    3,960 Sq. Feet",T,2,Residential,I  Individual,58500,68700,0,127200,116 FRONTENAC AVE. N.W.,R    LAND & IMPROVEMENTS,,TV,2021
602110,"8054EK 2 19,20    SE-12-20-3-5    5,940 Sq. Feet",T,2,Residential,I  Individual,82000,216300,0,298300,118 FRONTENAC AVE. N.W.,R    LAND & IMPROVEMENTS,,TV,2021
602120,"8054EK 2 21    SE-12-20-3-5    3,960 Sq. Feet",T,2,Residential,I  Individual,58500,159000,0,217500,120 FRONTENAC AVE. N.W.,R    LAND & IMPROVEMENTS,,TV,2021
602130,"8054EK 2 22,23    SE-12-20-3-5    7,520 Sq. Feet",T,2,Residential,I  Individual,87700,26700,0,114400,122 FRONTENAC AVE. N.W.,R    LAND & IMPROVEMENTS,,TV,2021
602140,"8054EK 2 23,24    SE-12-20-3-5    3,400 Sq. Feet",T,2,Residential,I  Individual,49200,80300,0,129500,124 FRONTENAC AVE. N.W.,R    LAND & IMPROVEMENTS,,TV,2021
602150,"8054EK 2 25-W27    SE-12-20-3-5    14,470 Sq. Feet",E,11,Institutional,I  Individual,101400,797600,0,899000,125 ROYAL AVE. N.W.,NR  LAND & IMPROVEMENTS,,TV,2021
602160,"8054EK 2 27-29    SE-12-20-3-5    9,220 Sq. Feet",T,2,Residential,I  Individual,93400,118000,0,211400,115 ROYAL AVE. N.W.,R    LAND & IMPROVEMENTS,,TV,2021
602170,"8054EK 2 29-31    SE-12-20-3-5    10,800 Sq. Feet",T,2,Residential,I  Individual,92100,210400,0,302500,113 ROYAL AVE. N.W.,R    LAND & IMPROVEMENTS,,TV,2021
602180,"8054EK 2 31,32    SE-12-20-3-5    7,060 Sq. Feet",T,2,Residential,I  Individual,86200,171800,0,258000,111 ROYAL AVE. N.W.,R    LAND & IMPROVEMENTS,,TV,2021
602190,"8054EK 2 33,P34    SE-12-20-3-5    7,200 Sq. Feet",T,2,Residential,I  Individual,86700,105100,0,191800,109 ROYAL AVE. N.W.,R    LAND & IMPROVEMENTS,,TV,2021
602200,"8054EK 2 34,35    SE-12-20-3-5    7,060 Sq. Feet",T,2,Residential,I  Individual,86200,100400,0,186600,107 ROYAL AVE. N.W.,R    LAND & IMPROVEMENTS,,TV,2021
602210,"8054EK 2 36    SE-12-20-3-5    4,750 Sq. Feet",T,2,Residential,I  Individual,69500,179700,0,249200,105 ROYAL AVE. N.W.,R    LAND & IMPROVEMENTS,,TV,2021
603000,"7423DQ 3 1-3    SE-12-20-3-5    8,630 Sq. Feet",T,3,Commercial,I  Individual,124500,0,0,124500,230 Main Street NW,NR  LAND,,TV,2021
603010,"7423DQ 3 3-5    SE-12-20-3-5    6,360 Sq. Feet",T,3,Commercial,I  Individual,107600,0,0,107600,220 MAIN ST. N.W.,NR  LAND,,TV,2021
603030,"7423DQ 3 6,7    SE-12-20-3-5    6,000 Sq. Feet",T,3,Commercial,I  Individual,104700,0,0,104700,210 MAIN ST. N.W.,NR  LAND,,TV,2021
603040,"7423DQ 3 8,9    SE-12-20-3-5    6,000 Sq. Feet",T,3,Commercial,I  Individual,0,0,234700,234700,206 MAIN ST. N.W.,NR  LAND & IMPROVEMENTS,LIQUOR STORE - TURNER VALLEY MAIN STREET,TV,2021
603050,"7423DQ 3 10,11    SE-12-20-3-5    6,000 Sq. Feet",T,3,Commercial,I  Individual,0,0,355800,355800,202 MAIN STREET NORTH WEST,NR  LAND & IMPROVEMENTS,,TV,2021
603060,"2229EW 3 12    SE-12-20-3-5    6,300 Sq. Feet",T,2,Residential,I  Individual,83700,124300,0,208000,108 EDGAR AVE. N.W.,R    LAND & IMPROVEMENTS,,TV,2021
603070,"2229EW 3 13    SE-12-20-3-5    6,300 Sq. Feet",T,2,Residential,I  Individual,83700,97500,0,181200,110 EDGAR AVE. N.W.,R    LAND & IMPROVEMENTS,,TV,2021
603080,"2229EW 3 14,15    SE-12-20-3-5    8,160 Sq. Feet",T,2,Residential,I  Individual,89800,154400,0,244200,114 EDGAR AVE. N.W.,R    LAND & IMPROVEMENTS,,TV,2021
603090,"2229EW 3 16,17    SE-12-20-3-5    8,060 Sq. Feet",T,2,Residential,I  Individual,89500,133300,0,222800,118 EDGAR AVE. N.W.,R    LAND & IMPROVEMENTS,,TV,2021
603100,"2229EW 3 18    SE-12-20-3-5    4,160 Sq. Feet",T,2,Residential,I  Individual,61800,66600,0,128400,120 EDGAR AVE. N.W.,R    LAND & IMPROVEMENTS,,TV,2021
603110,"2229EW 3 19,P20    SE-12-20-3-5    7,560 Sq. Feet",T,2,Residential,I  Individual,87900,207800,0,295700,122 EDGAR AVE. N.W.,R    LAND & IMPROVEMENTS,,TV,2021
603120,"2229EW 3 PT20    SE-12-20-3-5    6,300 Sq. Feet",T,2,Residential,I  Individual,83700,204200,0,287900,124 EDGAR AVE. N.W.,R    LAND & IMPROVEMENTS,,TV,2021
603130,"2229EW 3 21    SE-12-20-3-5    7,060 Sq. Feet",T,2,Residential,I  Individual,86200,89200,0,175400,201 HUBERT ST. N.W.,R    LAND & IMPROVEMENTS,,TV,2021
603140,"2229EW 3 22    SE-12-20-3-5    5,290 Sq. Feet",T,2,Residential,I  Individual,75200,110200,0,185400,121 FRONTENAC AVE. N.W.,R    LAND & IMPROVEMENTS,,TV,2021
603150,"2229EW 3 23    SE-12-20-3-5    6,450 Sq. Feet",T,2,Residential,I  Individual,84200,239800,0,324000,119 FRONTENAC AVE. N.W.,R    LAND & IMPROVEMENTS,,TV,2021
