Town,Category,Type,Rate,Year
TV,Residential,General Municipality,7.79999,2022
TV,Residential,ASFF,2.585,2022
TV,Residential,Seniors Lodge,0.116,2022
BD,Residential,General Municipality,7.226,2022
BD,Residential,ASFF,2.451,2022
BD,Residential,Seniors Lodge,0.1199379,2022
TV,Non-Residential,General Municipality,8.17999,2022
TV,Non-Residential,ASFF,3.77,2022
TV,Non-Residential,Seniors Lodge,0.11994,2022
BD,Non-Residential,General Municipality,8.971,2022
BD,Non-Residential,ASFF,3.767,2022
BD,Non-Residential,Seniors Lodge,0.116,2022
TV,Residential,General Municipality,7.79999,2021
TV,Residential,ASFF,2.745,2021
TV,Residential,Seniors Lodge,0.12103,2021
BD,Residential,General Municipality,7.733,2021
BD,Residential,ASFF,2.668,2021
BD,Residential,Seniors Lodge,0.125,2021
TV,Non-Residential,General Municipality,8.17999,2021
TV,Non-Residential,ASFF,3.632,2021
TV,Non-Residential,Seniors Lodge,0.121025,2021
BD,Non-Residential,General Municipality,9.22,2021
BD,Non-Residential,ASFF,3.965,2021
BD,Non-Residential,Seniors Lodge,0.125,2021
TV,Residential,General Municipality,7.66666,2020
TV,Residential,ASFF,2.55,2020
TV,Residential,Seniors Lodge,0.01221,2020
BD,Residential,General Municipality,7.403,2020
BD,Residential,ASFF,2.593,2020
BD,Residential,Seniors Lodge,0.126,2020
TV,Non-Residential,General Municipality,8.17999,2020
TV,Non-Residential,ASFF,3.75,2020
TV,Non-Residential,Seniors Lodge,0.01221,2020
BD,Non-Residential,General Municipality,8.535,2020
BD,Non-Residential,ASFF,3.637,2020
BD,Non-Residential,Seniors Lodge,0.126,2020
TV,Residential,General Municipality,7.66666,2019
TV,Residential,ASFF,2.56,2019
TV,Residential,Seniors Lodge,0.12605,2019
BD,Residential,General Municipality,7.561,2019
BD,Residential,ASFF,2.7,2019
BD,Residential,Seniors Lodge,0.124,2019
TV,Non-Residential,General Municipality,8.57999,2019
TV,Non-Residential,ASFF,3.76,2019
TV,Non-Residential,Seniors Lodge,0.12605,2019
BD,Non-Residential,General Municipality,8.912,2019
BD,Non-Residential,ASFF,3.72,2019
BD,Non-Residential,Seniors Lodge,0.124,2019
TV,Residential,General Municipality,7.6666,2018
TV,Residential,ASFF,2.56,2018
TV,Residential,Seniors Lodge,0.12441,2018
BD,Residential,General Municipality,7.461,2018
BD,Residential,ASFF,2.56,2018
BD,Residential,Seniors Lodge,0.12,2018
TV,Non-Residential,General Municipality,8.5799,2018
TV,Non-Residential,ASFF,3.76,2018
TV,Non-Residential,Seniors Lodge,0.12441,2018
BD,Non-Residential,General Municipality,8.9418,2018
BD,Non-Residential,ASFF,3.76,2018
BD,Non-Residential,Seniors Lodge,0.12,2018
TV,Residential,General Municipality,7.99999,2017
TV,Residential,ASFF,,2017
TV,Residential,Seniors Lodge,,2017
BD,Residential,General Municipality,7.9926,2017
BD,Residential,ASFF,2.48,2017
BD,Residential,Seniors Lodge,0.12,2017
TV,Non-Residential,General Municipality,8.5799,2017
TV,Non-Residential,ASFF,,2017
TV,Non-Residential,Seniors Lodge,,2017
BD,Non-Residential,General Municipality,8.306,2017
BD,Non-Residential,ASFF,3.64,2017
BD,Non-Residential,Seniors Lodge,0.12,2017
TV,Residential,General Municipality,7.9999,2016
TV,Residential,ASFF,2.37384,2016
TV,Residential,Seniors Lodge,0.1206,2016
BD,Residential,General Municipality,7.612,2016
BD,Residential,ASFF,2.4703,2016
BD,Residential,Seniors Lodge,0.12,2016
TV,Non-Residential,General Municipality,8.5799,2016
TV,Non-Residential,ASFF,3.21318,2016
TV,Non-Residential,Seniors Lodge,0.1206,2016
BD,Non-Residential,General Municipality,8.4024,2016
BD,Non-Residential,ASFF,3.668,2016
BD,Non-Residential,Seniors Lodge,0.12,2016
TV,Residential,General Municipality,7.99999,2015
TV,Residential,ASFF,2.24772,2015
TV,Residential,Seniors Lodge,0.12057,2015
BD,Residential,General Municipality,8.274,2015
BD,Residential,ASFF,2.321,2015
BD,Residential,Seniors Lodge,0.12,2015
TV,Non-Residential,General Municipality,8.5799,2015
TV,Non-Residential,ASFF,3.47036,2015
TV,Non-Residential,Seniors Lodge,0.12057,2015
BD,Non-Residential,General Municipality,8.6879,2015
BD,Non-Residential,ASFF,3.5151,2015
BD,Non-Residential,Seniors Lodge,0.12,2015
TV,Residential,General Municipality,7.95,2014
TV,Residential,ASFF,2.4403,2014
TV,Residential,Seniors Lodge,0.13953,2014
BD,Residential,General Municipality,8.5102,2014
BD,Residential,ASFF,2.3865,2014
BD,Residential,Seniors Lodge,0.14,2014
TV,Non-Residential,General Municipality,8.52229,2014
TV,Non-Residential,ASFF,3.7007,2014
TV,Non-Residential,Seniors Lodge,0.13953,2014
BD,Non-Residential,General Municipality,8.5102,2014
BD,Non-Residential,ASFF,3.5834,2014
BD,Non-Residential,Seniors Lodge,0.14,2014
