Roll Number,Legal Address,Tax/Exempt,Prop Type Code,Prop Type,Payer Type,Land Value,Impr. Value,Other Value,Total Value,Street Address,Prop Subtype,Description,Town,Tax Year
100,"2298DR 1 1    NE-8-20-2-5    15,300 Sq. Feet",T,2,Residential,I  Individual,150300,196400,0,346700,106 3RD ST. S.W.,R    LAND & IMPROVEMENTS,,DV,2023
200,"2298DR 1 2    SE-17-20-2-5    15,300 Sq. Feet",T,2,Residential,I  Individual,146880,158100,0,304980,317 CENTRE AVE. W.,R    LAND & IMPROVEMENTS,,DV,2023
200,"2298DR 1 2    SE-17-20-2-5    15,300 Sq. Feet",T,3,Commercial,I  Individual,25920,26800,0,52720,317 CENTRE AVE. W.,NR,,DV,2023
300,"2298DR 1 3    NE-8-20-2-5    15,300 Sq. Feet",T,6,Residential Multi Family,I  Individual,150300,225900,0,376200,307 CENTRE AVENUE WEST,R    LAND & IMPROVEMENTS,,DV,2023
400,2298DR 1 4    NE-8-20-2-5    1.01 Acres,E,28,Municipal Reserve,M  Municipal,164300,905600,0,1069900,301 CENTRE AVENUE WEST,NR  LAND & IMPROVEMENTS,TOWN OF BLACK DIAMOND OFFICE/LIBRARY,DV,2023
450,2298DR 1 4A    NE-8-20-2-5,T,3,Commercial,C  Corporation,0,46300,0,46300,301A Centre Avenue WEST,NR  IMPROVEMENTS,SUPERNET BUILDING WEST OF TOWN OFFICE,DV,2023
500,"0313541 1 12    NE-8-20-2-5    5,546 Sq. Feet",T,2,Residential,I  Individual,95000,76700,0,171700,302 1ST AVE. S.W.,R    LAND & IMPROVEMENTS,,DV,2023
550,"0313541 1 11    NE-8-20-2-5    9,706 Sq. Feet",T,2,Residential,I  Individual,157300,318800,0,476100,105 2ND STREET S.W.,R    LAND & IMPROVEMENTS,,DV,2023
600,"2298DR 1 6    NE-8-20-2-5    16,200 Sq. Feet",T,2,Residential,I  Individual,158500,125200,0,283700,310 1ST AVE. S.W.,R    LAND & IMPROVEMENTS,,DV,2023
700,"7811507 1 E35' 7    NE-8-20-2-5    5,950 Sq. Feet",T,2,Residential,I  Individual,101100,160000,0,261100,314 1ST AVE. S.W.,R    LAND & IMPROVEMENTS,,DV,2023
800,"7811507 1 W35' 7    NE-8-20-2-5    5,950 Sq. Feet",T,2,Residential,I  Individual,101100,160000,0,261100,316 1ST AVE. S.W.,R    LAND & IMPROVEMENTS,,DV,2023
900,"7811507 1 8    NE-8-20-2-5    6,050 Sq. Feet",T,2,Residential,I  Individual,102800,207300,0,310100,108 3RD ST. S.W.,R    LAND & IMPROVEMENTS,,DV,2023
1000,"7811507 1 9    NE-8-20-2-5    6,050 Sq. Feet",T,2,Residential,I  Individual,102800,217700,0,320500,112 3RD ST. S.W.,R    LAND & IMPROVEMENTS,,DV,2023
1100,"7811507 1 10    NE-8-20-2-5    6,600 Sq. Feet",T,2,Residential,I  Individual,111800,195800,0,307600,116 3RD ST. S.W.,R    LAND & IMPROVEMENTS,,DV,2023
1200,2298DR 2 1    NE-8-20-2-5,T,3,Commercial,C  Corporation,0,4600,0,4600,301 CENTRE AVE. W.,NR  IMPROVEMENTS,,DV,2023
1300,"2298DR 2 2    NE-8-20-2-5    15,300 Sq. Feet",E,28,Municipal Reserve,M  Municipal,135300,0,0,135300,221 CENTRE AVENUE WEST,NR  LAND,,DV,2023
1400,"2298DR 2 3    NE-8-20-2-5    15,300 Sq. Feet",T,3,Commercial,C  Corporation,0,0,615100,615100,213 Centre Avenue West,NR  LAND & IMPROVEMENTS,,DV,2023
1500,"2298DR 2 N50' 4    NE-8-20-2-5    4,500 Sq. Feet",T,2,Residential,I  Individual,79800,156000,0,235800,101 1ST STREET S.W.,R    LAND & IMPROVEMENTS,BUNGALOW ON CENTRE AVENUE WEST/1ST ST.,DV,2023
1600,"2298DR 2 N42' 4    NE-8-20-2-5    3,780 Sq. Feet",T,2,Residential,I  Individual,69400,96600,0,166000,105 1ST ST. S.W.,R    LAND & IMPROVEMENTS,,DV,2023
1700,"2298DR 2 S78' 4    NE-8-20-2-5    7,020 Sq. Feet",T,1,Residential Vacant,C  Corporation,178000,0,0,178000,109 1ST ST. S.W.,R    LAND,South 88' of lot 4 north of laneway,DV,2023
1800,"2298DR 2 N1/2 5    NE-8-20-2-5    7,650 Sq. Feet",E,28,Municipal Reserve,M  Municipal,157200,0,0,157200,113 1ST ST. S.W.,NR  LAND,,DV,2023
1900,"2298DR 2 S1/2 5    NE-8-20-2-5    8,100 Sq. Feet",T,2,Residential,I  Individual,130800,122100,0,252900,117 1ST STREET S.W.,R    LAND & IMPROVEMENTS,,DV,2023
2000,"2298DR 2 E40' 6    NE-8-20-2-5    6,800 Sq. Feet",T,3,Commercial,I  Individual,73450,71400,0,144850,210 1ST AVE. S.W.,NR  LAND & IMPROVEMENTS,,DV,2023
2000,"2298DR 2 E40' 6    NE-8-20-2-5    6,800 Sq. Feet",T,6,Residential Multi Family,I  Individual,73450,71400,0,144850,210 1ST AVE. S.W.,R,,DV,2023
2200,"2298DR 2 W50' 6    NE-8-20-2-5    8,500 Sq. Feet",T,6,Residential Multi Family,I  Individual,135300,230900,0,366200,212 1ST AVE S.W.,R    LAND & IMPROVEMENTS,,DV,2023
2300,"2298DR 2 E1/2 7    NE-8-20-2-5    7,650 Sq. Feet",T,2,Residential,C  Corporation,125800,92200,0,218000,214 1ST AVE. S.W.,R    LAND & IMPROVEMENTS,,DV,2023
2400,"2298DR 2 7,8    NE-8-20-2-5    11,783 Sq. Feet",T,2,Residential,I  Individual,137000,128500,0,265500,218 1ST AVE. S.W.,R    LAND & IMPROVEMENTS,,DV,2023
2500,"2298DR 2 W45' 8    NE-8-20-2-5    4,050 Sq. Feet",T,1,Residential Vacant,I  Individual,73300,0,0,73300,224 1ST AVE. S.W.,R    LAND,,DV,2023
