Roll Number,Legal Address,Tax/Exempt,Prop Type Code,Prop Type,Payer Type,Land Value,Impr. Value,Other Value,Total Value,Street Address,Prop Subtype,Description,Town,Tax Year
500010,8054EK A 1    SW-12-20-3-5,T,2,Residential,I  Individual,91100,46100,0,137200,502 SUNSET BLVD. N.W.,R        LAND & IMPROVEMENTS,,TV,2020
500020,8054EK A 2    SW-12-20-3-5,T,2,Residential,I  Individual,91100,100500,0,191600,504 SUNSET BLVD. N.W.,R        LAND & IMPROVEMENTS,,TV,2020
500030,8054EK A 3    SW-12-20-3-5,T,2,Residential,I  Individual,91100,170500,0,261600,506 SUNSET BLVD. N.W.,R        LAND & IMPROVEMENTS,,TV,2020
500040,8054EK A 4    SW-12-20-3-5,T,2,Residential,I  Individual,91100,144300,0,235400,508 SUNSET BLVD. N.W.,R        LAND & IMPROVEMENTS,,TV,2020
500050,8054EK A 5    SW-12-20-3-5,T,2,Residential,I  Individual,91100,91500,0,182600,510 SUNSET BLVD. N.W.,R        LAND & IMPROVEMENTS,,TV,2020
500060,8054EK A 9    SW-12-20-3-5,T,2,Residential,I  Individual,106200,111300,0,217500,519 WINDSOR AVE. N.W.,R        LAND & IMPROVEMENTS,,TV,2020
500070,8054EK A 10    SW-12-20-3-5,T,2,Residential,I  Individual,91100,110400,0,201500,517 WINDSOR AVE. N.W.,R        LAND & IMPROVEMENTS,,TV,2020
500080,8054EK A 11    SW-12-20-3-5,T,2,Residential,I  Individual,91100,194000,0,285100,515 WINDSOR AVE. N.W.,R        LAND & IMPROVEMENTS,,TV,2020
500090,8054EK A 12    SW-12-20-3-5,T,2,Residential,I  Individual,91100,193300,0,284400,513 WINDSOR AVE. N.W.,R        LAND & IMPROVEMENTS,,TV,2020
500100,8054EK A 13    SW-12-20-3-5,T,2,Residential,I  Individual,91100,128600,0,219700,511 WINDSOR AVE. N.W.,R        LAND & IMPROVEMENTS,,TV,2020
500110,8054EK A 14    SW-12-20-3-5,T,2,Residential,I  Individual,91100,138700,0,229800,509 WINDSOR AVE. N.W.,R        LAND & IMPROVEMENTS,,TV,2020
500120,"8054EK A 15,16    SW-12-20-3-5",T,2,Residential,I  Individual,108400,185900,0,294300,505 WINDSOR AVE. N.W.,R        LAND & IMPROVEMENTS,,TV,2020
500140,8054EK A 17    SW-12-20-3-5,T,2,Residential,I  Individual,91100,214400,0,305500,503 WINDSOR AVE. N.W.,R        LAND & IMPROVEMENTS,,TV,2020
